mode,trig,act,dev_trig,dev_act,installs,views,weight,n_rules,quota,spaces
trigger,time,light.off,Clock,Light,17795,0,0.005592,29,11,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME14 HOME15 HOME16 HOME17 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE03 OFFICE04 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,button,camera,Button,Camera,26249,0,0.005005,27,13,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM04 FACT01 FACT02
trigger,weather,thermostat,WeatherProvider,Thermostat,13583,0,0.004779,24,12,HOME02 HOME05 HOME06 HOME07 HOME16 HOME18 HOME19 OFFICE01
trigger,security,light.color,Camera,Light,2928,0,0.004625,25,9,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM02 FARM03 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,button,light.color,Button,Light,63552,0,0.004485,21,8,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FACT01 FACT02
trigger,security,notify,Camera,NotificationProvider,13762,0,0.004383,22,11,HOME06 HOME07 HOME08 HOME09 HOME15 HOME16 HOME18 HOME19 OFFICE03 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM02 FARM03 FARM04 FACT01 FACT02 FACT03 FACT04 FACT05
trigger,button,notify,Button,NotificationProvider,130251,0,0.003948,19,10,HOME01 HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME09 HOME10 HOME11 HOME12 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE05 OFFICE06 LAB01 LAB02 LAB03 LAB04 LAB05 FARM01 FARM04 FACT01 FACT02
trigger,button,thermostat,Button,Thermostat,61928,0,0.003828,19,10,HOME02 HOME05 HOME06 HOME07 HOME11 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE06
trigger,arrive,light.scene,PersonTracker,Light,4647,0,0.003739,20,8,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
trigger,phone,notify,PersonTracker,NotificationProvider,26664,0,0.003498,17,10,HOME02 HOME03 HOME04 HOME05 HOME06 HOME07 HOME08 HOME11 HOME13 HOME15 HOME16 HOME18 HOME19 HOME20 OFFICE01 OFFICE02 OFFICE05 OFFICE06 LAB01 LAB04
