src,sid,score,trig,dev_trig,act,dev_act,acts,n_act,mobile,text_ok,text,note
ifttt_pop,ifttt_pop:q62X5gBs,10,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:EjTwpQyz,18,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Social networks
ifttt_pop,ifttt_pop:iAaGbVyj,12,power,PowerMeter,speaker,Speaker,speaker|notify,2,1,0,,Power monitoring & management
ifttt_pop,ifttt_pop:d7rTLnSF,11,time,Clock,notify,NotificationProvider,notify,1,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:MQYGJ3ub,45,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Notifications
ifttt_pop,ifttt_pop:wKS7GtAQ,28,sun,SunProvider,humidity,Humidifier,humidity,1,0,0,,Weather
ifttt_pop,ifttt_pop:jqnNGLbR,16,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Social networks
ifttt_pop,ifttt_pop:enN6VH9r,63,message,MessageSender,notify,NotificationProvider,notify,1,0,0,,News & information
ifttt_pop,ifttt_pop:ucRed8bV,10,calendar,CalendarProvider,camera,Camera,camera,1,0,0,,Not Found
ifttt_pop,ifttt_pop:kLzDNQ6g,19,message,MessageSender,notify,NotificationProvider,notify,1,0,0,,Social networks
ifttt_pop,ifttt_pop:vnGtNJvx,24,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:WcaNS8jR,16162,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:jjW8VHYN,11,,,notify,NotificationProvider,notify,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:VgbGmWhv,30,message,MessageSender,notify,NotificationProvider,notify,1,0,0,,News & information
ifttt_pop,ifttt_pop:EnPLWeST,65,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:MKfm49rp,13,time,Clock,notify,NotificationProvider,notify,1,1,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:wc89Kdxg,11,,,camera,Camera,camera,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:VcH7nwyr,15,,,notify,NotificationProvider,notify,1,1,0,,News & information
ifttt_pop,ifttt_pop:H85pq6Zm,26,threshold,TemperatureSensor,notify,NotificationProvider,notify|timer,2,0,0,,Environment control & monitoring
ifttt_pop,ifttt_pop:zvzkThZb,15,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Social networks
ifttt_pop,ifttt_pop:AqNXBg54,119,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Shopping
ifttt_pop,ifttt_pop:KnJRiuAD,12,,,notify,NotificationProvider,notify,1,1,0,,Music
ifttt_pop,ifttt_pop:uPQ2v9DY,3399,,,camera,Camera,camera,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:QqUZRFmM,635,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:eqaE8HD3,1247,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:Bq238KW7,555,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Email
ifttt_pop,ifttt_pop:t9ViT3Wh,764,voice,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:aGr7fYPT,11,message,MessageSender,notify,NotificationProvider,notify,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:FNVuUCAy,725,calendar,CalendarProvider,notify,NotificationProvider,notify,1,0,0,,Notes
ifttt_pop,ifttt_pop:LdVYBrqn,252,,,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:MJYWdKUy,13326,weather,WeatherProvider,notify,NotificationProvider,notify,1,1,0,,Weather
ifttt_pop,ifttt_pop:ieCE52WK,133148,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:WkZFqD8r,55496,voice,,notify,NotificationProvider,notify,1,1,0,,Voice assistants
ifttt_pop,ifttt_pop:Juh7dERw,447,time,Clock,query,,,0,0,0,,Calendars & scheduling
ifttt_pop,ifttt_pop:q7npLuPW,297,,,camera,Camera,camera,1,1,0,,Photo & video
ifttt_pop,ifttt_pop:ipHMs7t4,266,,,media,Television,media,1,1,0,,Contacts
ifttt_pop,ifttt_pop:BYdTz2L9,539,calendar,CalendarProvider,notify,NotificationProvider,notify,1,1,0,,Mobile devices & accessories
ifttt_pop,ifttt_pop:SNuUdePq,112,,,notify,NotificationProvider,notify,1,1,0,,Shopping
ifttt_pop,ifttt_pop:Y8UWgfuZ,115,,,camera,Camera,camera,1,1,0,,Photo & video
